TransactionID,IsFraud,AnomalyScore,AnomalyPrediction
TX000005,0,0.5246226601335008,0
TX000007,0,0.5288355789034658,0
TX000008,0,0.622468343283775,0
TX000009,0,0.3704080064190797,0
TX000011,0,0.4372760969225614,0
TX000022,0,0.4932244608669009,0
TX000049,0,0.4577633143219261,0
TX000059,0,0.16986903978276172,0
TX000070,0,0.3656039778372576,0
TX000087,0,0.5165853539253112,0
TX000088,0,0.1359870268253391,0
TX000090,0,0.2893171679981831,0
TX000098,0,0.5970209608747629,0
TX000104,0,0.1521297049755002,0
TX000107,0,0.2237335289026829,0
TX000130,0,0.47043292115546415,0
TX000132,0,0.502091515027685,0
TX000136,0,0.8861144644122462,1
TX000146,0,0.24618351922862589,0
TX000148,0,0.4954653758746304,0
TX000149,0,0.3417439136116286,0
TX000153,0,0.26117708636352016,0
TX000164,0,0.3892287891914344,0
TX000196,0,0.7526874263358158,1
TX000201,0,0.19872529172298198,0
TX000203,0,0.16960351486629857,0
TX000209,0,0.2686372558551009,0
TX000211,0,0.3696297626882426,0
TX000213,0,0.3871711010952499,0
TX000221,0,0.37311849147159487,0
TX000222,0,0.4774966666827038,0
TX000228,0,0.35056153377883614,0
TX000241,0,0.5847648139109826,0
TX000245,0,0.6259314512982642,0
TX000256,0,0.32523720075984985,0
TX000259,0,0.351265757583113,0
TX000262,0,0.2376054487507794,0
TX000267,0,0.6154365597440715,0
TX000272,0,0.5144126356060175,0
TX000283,0,0.398890333996342,0
TX000288,0,0.6904447655976328,1
TX000289,0,0.4738368145195326,0
TX000291,0,0.43556060108420397,0
TX000301,0,0.4251436243042,0
TX000311,0,0.2865266977425057,0
TX000312,1,0.8549336730427874,1
TX000320,0,0.4191929562543662,0
TX000327,0,0.4507605377155464,0
TX000329,0,0.1345340799074625,0
TX000330,0,0.41877340814768227,0
TX000331,0,0.1719389583447886,0
TX000334,0,0.17590890389316824,0
TX000335,0,0.22276125834136729,0
TX000348,0,0.24944815026134068,0
TX000358,0,0.6224725717086981,0
TX000370,0,0.3656541870475268,0
TX000378,0,0.0922114264012033,0
TX000381,0,0.1693463501400197,0
TX000384,0,0.24224231889437706,0
TX000386,0,0.2714528147428525,0
TX000398,0,0.5487550987587118,0
TX000410,0,0.9297879312989131,1
TX000420,0,0.029265027750689513,0
TX000424,1,0.646078472518867,0
TX000452,0,0.21313379277718175,0
